Id,SalePrice
1461,115320.9413
1462,164909.5876
1463,175519.1604
1464,182417.9123
1465,207831.1857
1466,177759.2265
1467,168256.4622
1468,170300.8822
1469,192131.948
1470,111659.4288
1471,184563.7777
1472,87635.14153
1473,83696.60483
1474,133091.7219
1475,106929.5692
1476,399801.078
1477,264192.1369
1478,323714.9256
1479,325228.6386
1480,463906.9812
1481,301994.8132
1482,222203.9648
1483,195523.6875
1484,166372.7575
1485,170035.4515
1486,202942.6288
1487,349641.6474
1488,265050.2064
1489,216717.4358
1490,264518.239
1491,200441.0942
1492,102028.7367
1493,181387.844
1494,286584.7006
1495,284950.8073
1496,257284.6746
1497,204142.1592
1498,170932.3924
1499,160580.608
1500,151988.0993
1501,179994.5159
1502,161474.3183
1503,299465.9884
1504,245329.7078
1505,237450.1622
1506,216288.7002
1507,239690.9726
1508,206036.0502
1509,165998.3796
1510,152274.7024
1511,151273.313
1512,177100.1532
1513,163473.5022
1514,150649.1448
1515,208806.8623
1516,159892.4832
1517,146941.3963
1518,147787.7981
1519,213686.1494
1520,134848.6088
1521,141817.6763
1522,178441.4685
1523,121028.8052
1524,119240.0144
1525,119847.0433
1526,107363.8206
1527,85918.61214
1528,133106.5082
1529,143930.5991
1530,176296.9048
1531,118443.7946
1532,93801.22658
1533,156901.7262
1534,131294.5477
1535,152779.4948
1536,120088.8868
1537,63869.56563
1538,162511.9428
1539,178623.3221
1540,138238.2756
1541,141180.4169
1542,147776.7728
1543,187880.6842
1544,76317.00293
1545,116104.4216
1546,124433.4263
1547,131287.695
1548,140219.0826
1549,102815.8794
1550,140435.5284
1551,127596.9956
1552,144707.4928
1553,135220.8431
1554,118924.9517
1555,199903.2677
1556,131164.9623
1557,97065.46385
1558,106730.6132
1559,117800.7542
1560,120706.1525
1561,135091.4897
1562,114286.7313
1563,113667.2655
1564,133482.3127
1565,144916.0182
1566,231249.6611
1567,82243.65332
1568,228732.3687
1569,127833.4153
1570,122425.0309
1571,124932.9071
1572,136284.6134
1573,223424.553
1574,156350.6705
1575,205506.1336
1576,209444.9775
1577,193253.8565
1578,131189.2108
1579,138326.7464
1580,195895.5093
1581,140072.2959
1582,122169.4636
1583,275464.27
1584,226235.6301
1585,129053.7637
1586,0
1587,98172.41478
1588,144855.1106
1589,111769.6395
1590,143313.6568
1591,100636.3729
1592,126083.0885
1593,118844.7284
1594,0
1595,135724.1546
1596,242800.8926
1597,178841.8059
1598,204277.5193
1599,159340.1116
1600,175089.2337
1601,40542.09889
1602,110489.4654
1603,61790.67351
1604,279404.5854
1605,235657.9017
1606,170305.0352
1607,203392.5845
1608,234751.8745
